age,gender,raceethnicity,armed,share_white,share_black,share_hispanic,h_income,pov,college
16,Male,Black,No,60.5,30.5,5.6,51367,14.1,0.168509509
27,Male,White,No,53.8,36.2,0.5,27972,28.8,0.111402359
26,Male,White,No,73.8,7.7,16.8,45365,14.6,0.147312269
25,Male,Hispanic/Latino,Firearm,1.2,0.6,98.8,48295,11.7,0.050132928
29,Male,White,No,92.5,1.4,1.7,68785,1.9,0.403954214
29,Male,White,No,7,7.7,79,20833,58,0.102955195
22,Male,Hispanic/Latino,Firearm,50.8,0.3,44.2,58068,17.2,0.20380117
35,Male,Hispanic/Latino,Non-lethal firearm,8.6,0.2,84.1,66543,12.2,0.090437601
44,Male,White,Firearm,14.6,17.7,66.3,30391,37.7,0.047601339
31,Male,White,Other,63.6,7.7,26.5,44553,18.4,0.102691511
76,Male,White,Knife,51.4,0.9,44.9,56065,9.2,0.100328947
40,Male,White,No,67.3,0.6,12.9,117413,4.4,0.527176781
31,Male,White,Firearm,83.7,7.6,3.1,44857,13.1,0.345857854
23,Male,White,Non-lethal firearm,64,23.5,7.5,39727,26,0.568033429
39,Male,Hispanic/Latino,Firearm,37.5,27,24.7,25500,36.3,0.226814777
25,Female,Black,Vehicle,30.5,58.4,6.4,56190,42.4,0.3805374
54,Male,Hispanic/Latino,Firearm,52.2,16.2,15.7,38125,20.5,0.424964937
24,Female,White,Firearm,44.8,6.9,16.5,61904,11.6,0.552548489
57,Male,Black,No,31.3,7.5,15.2,111903,6.4,0.40952621
21,Male,Hispanic/Latino,Vehicle,28.3,5.1,58.1,60479,12.7,0.349884906
42,Male,Black,No,92.3,2.3,2.9,54809,10.3,0.258886442
21,Male,Hispanic/Latino,Other,40.3,10.7,41.4,32471,36.5,0.070931245
36,Male,White,Firearm,17.8,4.4,76.4,39153,24.4,0.071504237
26,Male,White,Firearm,77.7,0.9,9.7,32034,20.3,0.1694018
49,Male,White,Firearm,78.1,2.2,15.1,43625,24.8,0.125731679
54,Male,White,Firearm,94,1.8,1.9,61167,5.4,0.284854246
